"Price","Rooms","Distance","Car","Bathroom","BuildingArea","Landsize","YearBuilt"
"44",810000,3,13.5,2,3,192,555,1980
"45",715000,3,13.5,2,2,126,422,1995
"46",540000,3,13.5,1,2,101,161,2010
"47",825000,3,13.5,1,2,102,293,1960
"48",685000,3,13.5,1,1,113,579,1975
"49",9e+05,4,13.5,3,2,146,628,1975
"50",1275000,2,3.3,0,1,82,120,1900
"51",2850000,3,3.3,0,2,198,211,1890
"52",1850000,3,3.3,0,2,133,128,1890
"53",1436000,2,3.3,0,1,81,130,1900
"54",1328000,4,13,2,2,112,610,1940
"55",1340000,3,13,1,2,135,526,1910
"56",1155000,4,13,2,3,205,271,2010
"57",1275000,3,13,4,1,138,758,1960
"58",855000,2,13,1,1,103,296,1940
"59",650000,2,13,1,1,92,116,1960
"60",1815000,4,13,4,2,233,902,1950
"61",2255000,4,13,2,3,353,557,2008
"62",855000,2,13,3,2,475,226,2005
"63",1860000,4,13,3,2,197,855,1930
"64",725000,2,13,1,1,100,227,1990
"65",1293000,3,13,1,1,108,632,1950
"66",1328000,3,13,2,2,245,690,1970
"67",1247000,4,13,3,2,255,354,2008
"68",1370000,3,13,2,1,143,624,1950
"69",1095000,3,13,1,2,170,581,1965
"70",725000,2,13,1,1,88,677,2012
"71",825000,3,13,2,2,149,147,2007
"72",1235000,3,13,2,2,160,0,2012
"73",1165000,3,13,2,1,125,694,1950
"74",1910000,4,13,4,2,284,736,1950
"75",820000,2,13,3,1,109,336,1960
"76",1430000,4,13,2,2,168,611,1970
"77",910000,2,13,2,1,96,274,1970
"78",2520000,4,13,2,4,361,579,2012
"79",1900000,5,13,2,2,250,567,1926
"80",670000,2,13,1,2,90,123,2007
"81",680000,2,13,1,1,107,83,1998
"82",1320000,4,13,3,3,220,346,2010
"83",1900000,6,13,2,3,275,708,1988
"84",1535000,3,13,2,2,150,572,1930
"85",1281000,4,13,5,1,150,594,1940
"86",1385000,5,13,2,2,178,664,1950
"87",2620000,4,13,2,4,361,579,2012
"88",825000,2,13.9,1,2,125,176,2008
"89",746000,2,13.9,2,1,95,281,2002
"90",1275000,5,13.9,2,2,190,683,1960
"91",1025000,3,13.9,2,2,120,384,1999
"92",495000,2,13.9,1,1,79,76,1980
"93",1220000,4,13.9,2,2,178,585,1950
"94",885000,3,13.9,2,1,110,565,1950
"95",830000,3,13.9,2,2,141,292,2012
"96",1210000,4,13.9,2,3,222,291,2014
"97",1160000,4,13.9,2,2,180,321,2006
"98",1215000,3,13.9,3,2,110,730,1970
"99",1200000,4,13.9,2,2,191,619,1960
"100",1050000,3,13.9,2,2,140,627,1950
"101",950000,5,13.9,4,2,146,618,1950
"102",380000,2,13.9,1,2,78,0,1970
"103",1338000,3,13.9,2,2,177,610,1970
"104",651000,2,13.9,1,1,150,265,1960
"105",1390000,3,13.9,2,2,118,590,1960
"106",1100000,3,13.9,2,1,163,578,1955
"107",1206000,4,13.9,1,1,138,636,1940
"108",486500,2,13.9,1,1,75,0,1960
"109",1415000,4,13.9,2,2,177,604,1970
"110",1185000,4,13.9,2,2,207,305,2012
"111",1060000,4,13.9,1,3,166,313,1960
"112",845000,3,13.9,2,2,145,295,1998
"113",860000,3,13.9,1,2,117,254,1995
"114",921000,3,13.9,2,2,140,167,2009
"115",742500,2,13.9,1,1,135,300,1960
"116",920000,3,13.9,2,2,120,578,1950
"117",702000,2,13.9,1,1,102,591,1960
"118",805000,3,13.9,1,2,117,268,2000
"119",1100000,4,13.9,1,2,190,274,2004
"120",1050000,3,13.9,4,1,131,726,1950
"121",722000,2,13.9,1,2,79,201,2005
"122",930000,3,13.9,2,1,133,588,1960
"123",921000,3,13.9,1,2,119,291,2000
"124",1035000,4,13.9,2,1,160,610,1950
"125",1352000,4,13.9,2,2,196,618,1950
"126",1005000,4,13.9,2,2,205,296,2006
"127",1600000,5,13.9,2,2,315,659,1930
"128",1200000,3,13.9,1,1,120,721,1970
"129",780000,3,13.9,2,2,126,421,1950
"130",1250000,4,13.9,2,2,231,314,2010
"131",1110000,4,13.9,2,2,176,583,1960
"132",1690000,4,13.9,2,2,165,700,1950
"133",791000,3,13.9,1,3,122,391,1950
"134",9e+05,3,13.9,3,1,140,780,1940
"135",970000,3,13.9,2,2,156,267,2000
"136",823000,3,13.9,2,2,143,213,2003
"137",1045000,4,13.9,1,2,190,316,2010
"138",655000,2,13.9,1,1,80,154,2000
"139",1550000,5,13.9,2,3,257,623,1950
"140",835000,3,13.9,1,1,105,250,1980
"141",1465000,4,13.9,2,2,256,319,2015
"142",910000,3,13.9,1,1,96,587,1950
"143",920000,3,13.9,1,2,123,388,2007
"144",935000,3,13.9,2,2,160,230,2012
"145",977000,3,13.9,2,1,163,543,1970
"146",1352000,3,13.9,2,1,122,686,1950
"147",1115000,4,13.9,2,2,160,575,1960
"148",1197000,3,13.9,2,1,147,692,1949
"149",485000,2,13.9,2,2,83,0,2011
"150",1365000,4,13.9,1,1,151,582,1960
"151",1698888,4,13.9,2,2,337,598,2006
"152",965000,3,13.9,1,2,28,283,2010
"153",870000,3,13.9,2,2,150,365,2011
"154",1161000,3,13.9,3,2,168,629,1950
"155",1266000,3,13.9,3,1,146,676,1970
"156",7e+05,3,13.9,2,2,200,194,2008
"157",1325000,4,13.9,2,4,265,363,2012
"158",770000,3,13.9,1,2,132,281,2005
"159",380000,1,13.9,1,1,99,0,1970
"160",1175000,4,13.9,2,2,158,620,1980
"161",1200000,3,13.9,1,1,120,640,1960
"162",1370000,4,13.9,2,1,196,684,1970
"163",1433500,4,13.9,1,1,186,725,1950
"164",860000,3,13.9,1,2,131,210,2005
"165",715000,2,13.9,1,1,114,194,1995
"166",710000,2,13.9,1,1,115,0,1950
"167",1550000,5,13.9,2,3,296,583,2007
"168",790000,3,13.9,2,1,100,406,1996
"169",1020000,3,13.9,2,1,144,596,1960
"170",886000,3,13.9,1,2,122,185,2012
"171",1015000,4,13.9,3,2,198,625,1997
"172",1255000,4,13.9,2,2,167,610,1950
"173",1320000,3,13.9,1,1,94,593,1950
"174",870000,3,13.9,1,2,133,326,1950
"175",1472500,4,13.9,2,2,219,592,2013
"176",640000,2,13.9,2,2,118,298,2005
"177",1620000,4,13.1,2,2,255,697,1940
"178",645000,2,13.1,1,1,81,140,1965
"179",1560000,4,13.1,3,2,167,729,1905
"180",1715000,3,13.1,2,2,170,458,1950
"181",1200000,3,13.1,2,1,110,550,1950
"182",1760000,3,13.1,0,1,151,741,1910
"183",948000,3,13.1,2,1,108,384,1950
"184",465000,2,13.1,1,2,65,0,2010
"185",975000,4,13.1,2,2,158,299,2008
"186",1325000,3,13.1,1,1,134,702,1950
"187",750000,3,13.1,1,2,3,150,2000
"188",1400000,3,13.1,1,2,159,643,1940
"189",1500000,3,13.1,2,1,106,664,1930
"190",1600000,4,13.1,1,2,195,692,1890
"191",1461400,4,13.1,2,2,235,780,1927
"192",775000,3,13.1,1,1,108,211,1980
"193",1670000,4,13.1,4,4,162,707,1926
"194",4e+06,3,13.1,2,1,120,763,1945
"195",928000,3,13.1,1,1,106,307,1890
"196",636000,2,13.1,1,1,82,151,1970
"197",1170000,3,13.1,1,1,95,755,1920
"198",1670000,4,13.1,2,2,231,590,1924
"199",857000,3,13.1,1,1,119,492,1930
"200",822500,3,13.1,1,2,130,238,2000
"201",645000,2,10.8,1,1,75,566,1950
"202",502000,3,10.8,1,1,106,220,2011
"203",495000,3,10.8,1,2,124,327,2006
"204",868000,2,10.8,4,1,77,749,1950
"205",645000,4,10.8,1,2,154,283,1990
"206",652000,3,10.8,1,2,145,216,2010
"207",850000,4,10.8,2,2,240,606,2002
"208",575000,3,10.8,3,1,98,559,1955
"209",882000,4,10.8,2,2,216,393,2008
"210",730000,3,10.8,2,2,135,544,1970
"211",610000,4,10.8,1,2,154,283,1990
"212",696000,3,10.8,0,1,90,557,1960
"213",579000,3,10.8,1,2,144,198,2013
"214",765000,3,10.8,1,1,105,658,1960
"215",475000,2,10.8,1,1,104,115,1980
"216",550000,4,10.8,1,2,160,288,2000
"217",495000,3,10.8,1,1,138,158,2005
"218",565000,3,10.8,1,2,78,566,1970
"219",1635000,3,11.2,2,1,156,366,1920
"220",3695000,4,11.2,2,3,284,836,1960
"221",536000,2,11.2,2,1,70,0,1970
"222",3700000,4,11.2,2,3,247,742,1900
"223",1975000,3,11.2,2,1,122,432,1930
"224",1390000,3,7.8,1,1,77,0,1965
"225",435000,2,7.8,1,1,77,896,1960
"226",591000,3,7.8,1,1,89,0,1960
"227",2608000,5,7.8,4,2,3112,730,1920
"228",1780000,3,7.8,1,1,133,769,1930
"229",2250000,3,7.8,1,1,95,424,1930
"230",1800000,3,7.8,0,2,213,584,1920
"231",9e+05,2,7.8,1,1,88,150,1970
"232",2700000,5,7.8,2,3,317,802,1994
"233",530000,2,7.8,1,1,76,0,1960
"234",2228000,4,7.8,2,2,163,813,1960
"235",1602500,3,7.8,1,1,102,405,1930
"236",2177000,3,7.8,2,1,130,635,1920
"237",3400000,3,7.8,4,2,146,877,1960
"238",2105000,3,7.8,2,1,164,692,1940
"239",1625000,3,7.8,2,2,160,283,1990
"240",3300000,3,7.8,2,3,220,417,2016
"241",667000,2,7.8,1,1,81,83,1960
"242",2015000,4,7.8,4,1,145,772,1920
"243",7e+05,2,7.8,1,1,75,631,1970
"244",3225000,4,7.8,1,3,270,632,1890
"245",3320000,5,7.8,2,4,407,741,2009
"246",2125000,5,7.8,2,3,282,603,1980
"247",2030000,4,7.8,2,2,210,686,1960
"248",2750000,4,7.8,1,3,257,0,1912
"249",2e+06,4,7.8,4,3,271,697,1980
"250",2250000,5,7.8,1,5,453,639,2010
"251",2740000,5,7.8,2,2,363,643,2005
"252",2950000,4,9,2,2,215,687,1935
"253",1587500,3,9,1,1,130,459,1920
"254",830000,2,9,1,1,83,110,1960
"255",2375000,4,9,1,2,229,653,1910
"256",2900000,5,9,2,2,297,795,1910
"257",2200000,3,9,2,3,148,468,1890
"258",2620000,4,9,1,1,235,717,1890
"259",1305000,2,9,1,1,104,342,1945
"260",928000,3,9,1,2,140,145,1998
"261",2930000,5,9,4,3,222,645,2005
"262",2950000,4,9,3,2,173,812,1927
"263",722000,2,9,1,1,92,0,1965
"264",2350000,5,9,4,2,282,838,1910
"265",1640000,3,9,2,3,207,352,1997
"266",1680000,3,9,1,2,197,325,1910
"267",3550000,5,9,4,4,427,684,2013
"268",3400000,4,9,4,1,411,845,2008
"269",1850000,3,9,2,2,216,361,1995
"270",3145000,4,9,2,2,276,796,2012
"271",1420000,4,11.4,3,2,270,932,1970
"272",585000,2,11.4,1,1,67,108,1970
"273",450000,2,11.4,1,1,72,0,1970
"274",860000,3,11.4,2,1,135,277,1978
"275",605000,2,11.4,1,1,70,0,1973
"276",1518000,4,11.4,2,3,275,454,2000
"277",632500,2,11.4,1,1,98,99,1965
"278",435000,2,11.4,1,1,60,0,1980
"279",468250,2,11.4,1,1,75,912,2008
"280",1716000,3,11.4,1,2,130,817,1925
"281",365000,1,11.4,1,1,48,0,1960
"282",722500,2,8.9,1,1,100,0,1960
"283",550000,2,8.9,1,1,78,806,1960
"284",131000,4,8.9,2,1,155,499,1920
"285",1750000,3,8.1,2,2,313,692,1955
"286",580000,2,9.2,2,3,353,919,1925
"287",1800000,4,9.2,2,2,217,868,1930
"288",1998000,4,9.2,1,2,183,739,2002
"289",671000,2,9.2,1,1,85,0,1960
"290",1425000,3,9.2,2,2,163,217,2006
"291",1530000,3,9.2,1,1,118,753,1940
"292",1900000,4,9.2,2,4,323,708,1985
"293",1360000,3,9.2,1,2,134,704,1940
"294",2175000,5,9.2,4,3,327,619,2003
"295",2325000,4,9.2,2,3,314,638,1930
"296",2538000,4,9.2,3,2,314,630,2000
"297",2300000,4,9.2,4,3,254,1258,1941
"298",550000,2,9.2,1,1,63,0,1968
"299",1600000,3,9.2,1,2,134,704,1940
"300",2115000,3,9.2,2,2,157,745,1920
"301",1700000,3,9.2,2,2,188,625,1951
"302",2077000,4,9.2,3,2,143,553,1910
"303",2850000,4,9.2,2,3,305,1184,1935
"304",411000,2,9.2,1,1,65,0,1970
"305",2020000,4,9.2,2,2,351,630,2009
"306",2010000,4,9.2,2,2,212,659,1930
"307",2975000,4,9.2,4,3,30,0,1930
"308",452000,1,9.2,1,1,52,63,1980
"309",1820000,3,9.2,3,1,136,650,1930
"310",291000,1,9.2,1,1,38,1097,1982
"311",2376000,4,9.2,2,2,230,652,1925
"312",1456000,3,9.2,2,1,142,504,1920
"313",345000,1,9.2,1,1,44,745,1970
"314",2e+06,5,9.2,1,3,248,696,1920
"315",585000,2,9.2,1,1,84,84,1960
"316",1700000,4,9.2,1,3,266,650,1946
"317",1375000,3,9.2,2,2,176,328,1990
"318",920000,2,9.2,2,1,115,334,1930
"319",382000,2,9.2,1,1,33,1069,1960
"320",1280000,2,9.2,1,1,123,412,1950
"321",2825000,5,9.2,4,4,206,802,2013
"322",2825000,3,9.2,4,2,217,885,1910
"323",1825000,4,9.2,2,3,26,366,1999
"324",3085000,5,9.2,3,3,326,778,2000
"325",1600000,2,9.2,2,2,184,718,1950
"326",2352500,5,9.2,2,3,336,642,1930
"327",3860000,5,9.2,2,4,520,830,2009
"328",2625000,4,9.2,2,3,326,840,1930
"329",1950000,4,9.2,2,2,155,775,1960
"330",2200000,3,9.2,2,1,142,700,1930
"331",1751000,3,9.2,3,1,140,609,1930
"332",1857000,4,9.2,3,2,205,548,1930
"333",720000,2,9.2,2,1,74,0,1940
"334",1500000,3,9.2,3,1,107,401,1935
"335",2725000,4,9.2,2,3,246,603,2007
"336",2800000,3,9.2,2,1,153,762,1930
"337",1665000,3,9.2,2,1,143,685,1941
"338",6e+05,2,9.2,1,1,80,0,1960
"339",1420000,3,9.2,2,1,607,615,1940
"340",2410000,5,9.2,2,2,354,654,2015
"341",2100000,4,9.2,2,2,216,645,1930
"342",2950000,4,9.2,2,2,295,1485,1966
"343",3365000,5,9.2,2,2,270,1339,1925
"344",1931000,3,9.2,2,2,193,648,1975
"345",1250000,2,9.2,2,1,107,438,1910
"346",2400000,5,9.2,2,3,672,709,1930
"347",610000,3,13,2,1,118,696,1960
"348",610000,3,13,3,1,144,640,1960
"349",806500,3,13,2,1,127,766,1965
"350",550000,4,13,1,2,138,683,2017
"351",822000,3,13,4,1,105,700,1950
"352",980000,3,13,3,2,136,1029,1950
"353",430000,2,13,1,1,100,164,2010
"354",540000,2,13,1,1,114,164,2010
"355",737000,3,13,4,1,97,640,1950
"356",460000,3,13,2,2,3,224,1950
"357",545000,3,13,1,2,130,136,2014
"358",670000,3,13,4,1,140,734,1960
"359",702000,4,13,4,1,124,606,1956
"360",730000,2,13,1,1,115,705,1950
"361",711500,3,13,3,1,81,667,1950
"362",810000,5,13,4,4,176,695,1950
"363",250000,2,13,1,1,61,0,1970
"364",460000,3,13,1,1,106,325,1970
"365",793000,3,13,2,1,120,780,1960
"366",340000,2,13,1,1,74,0,1970
"367",447500,3,13,1,1,130,320,2000
"368",588000,3,13,1,1,125,616,1960
"369",420000,3,13,2,1,96,0,1960
"370",410000,2,13,2,1,81,200,2000
"371",525000,3,13,1,1,85,665,1950
"372",703000,3,13,4,1,102,704,1960
"373",608000,4,13,1,2,150,252,2014
"374",607000,4,13,2,3,131,0,2014
"375",765500,3,13,2,2,180,780,1970
"376",470000,3,13,2,1,99,187,2014
"377",580000,3,13,2,1,142,650,1960
"378",620250,2,13,2,1,91,253,2012
"379",710000,3,13,1,1,104,796,1960
"380",630000,4,13,2,1,130,630,1960
"381",6e+05,3,13,4,1,139,541,1968
"382",550000,3,13,2,2,129,212,2010
"383",6e+05,4,13,2,1,159,586,1968
"384",1217500,4,13,2,3,192,693,2014
"385",6e+05,3,13,2,1,150,599,1960
"386",570000,3,13,2,2,146,585,1975
"387",762700,3,13,4,1,100,597,1960
"388",465000,2,13,1,1,89,176,2012
"389",741250,2,13,1,1,88,668,1955
"390",1e+06,4,13,8,2,304,977,1935
"391",630000,4,13,2,2,180,602,1950
"392",670000,3,13,3,1,135,705,1950
"393",417000,2,13,1,1,77,172,2013
"394",6e+05,3,13,2,1,143,258,2001
"395",440000,3,13,1,2,121,215,2010
"396",660000,3,13,2,1,116,657,1950
"397",270000,2,13,1,1,155,155,2000
"398",825000,4,13,4,2,194,768,1970
"399",638000,4,13,1,2,258,624,2005
"400",631000,3,13.6,2,2,138,608,2001
"401",532000,3,13.6,1,2,19,149,2005
"402",504000,3,13.6,1,2,139,215,2004
"403",468000,3,13.6,2,2,138,178,2000
"404",802500,4,13.6,2,2,264,0,2005
"405",709000,4,13.6,2,2,213,453,2007
"406",485000,3,13.6,1,2,134,175,2004
"407",540000,3,13.6,1,2,141,367,2008
"408",390000,3,13.6,1,2,136,158,2005
"409",8e+05,4,13.6,2,2,251,719,2000
"410",740000,4,13.6,2,2,213,453,2007
"411",605000,3,12.1,2,1,116,597,1960
"412",685500,3,12.1,2,1,103,724,1970
"413",610000,2,12.1,1,1,98,394,1950
"414",630000,3,12.1,1,1,112,604,1970
"415",870000,4,12.1,5,3,268,591,2010
"416",810000,3,12.1,2,2,129,592,1950
"417",487000,2,12.1,2,1,96,198,2010
"418",7e+05,4,12.1,2,2,168,700,1950
"419",600500,4,12.1,1,2,161,462,1970
"420",730000,3,12.1,2,1,134,570,1970
"421",8e+05,3,12.1,2,2,116,565,1960
"422",750000,3,12.1,2,2,251,301,2011
"423",740000,3,12.1,1,1,115,568,1960
"424",646000,3,12.1,2,1,106,574,1970
"425",545000,3,12.1,3,2,113,230,2000
"426",777000,4,12.1,2,1,176,700,1960
"427",722000,2,12.1,1,3,103,580,1950
"428",545000,2,12.1,3,1,102,591,1960
"429",510000,3,12.1,2,2,115,234,2012
"430",631500,3,12.1,3,1,95,593,1965
"431",550000,3,12.1,3,1,142,610,1960
"432",330000,2,12.1,1,1,2,249,1970
"433",715888,2,12.1,1,1,92,613,1960
"434",468000,2,12.1,1,1,110,137,2012
"435",515000,2,5.6,2,2,190,591,1910
"436",478000,2,5.6,1,1,51,0,1970
"437",672000,2,5.6,1,1,77,0,1966
"438",2286000,4,5.6,2,3,237,712,1975
"439",1575000,3,5.6,2,2,80,397,1940
"440",590000,2,5.6,1,1,80,0,1975
"441",2350000,4,5.6,2,2,358,861,1983
"442",1312000,4,5.6,1,2,180,687,1955
"443",890000,2,5.6,1,2,87,89,1965
"444",1331000,2,5.6,1,1,89,424,1940
"445",1800000,4,5.6,2,2,187,586,1940
"446",1476000,3,5.6,2,2,203,288,1997
"447",2590000,4,5.6,2,2,215,660,1928
"448",2625000,4,5.6,2,2,225,717,1890
"449",2265000,4,5.6,1,1,242,650,1930
"450",1975000,5,5.6,1,2,1022,531,1890
"451",2550000,5,5.6,2,4,342,597,2016
"452",1330000,3,5.6,2,2,184,205,1995
"453",1450000,3,5.6,2,2,204,247,1998
"454",3650000,3,5.6,3,2,282,1353,1960
"455",551000,2,5.6,2,1,86,0,1992
"456",2460000,4,5.6,2,4,293,737,1910
"457",2850000,4,5.6,4,2,248,690,1890
"458",2425000,5,5.6,2,2,237,534,1890
"459",610000,2,5.6,1,1,72,745,1968
"460",955000,3,5.6,2,2,121,140,1980
"461",707500,2,5.6,1,1,86,124,1992
"462",732000,3,5.6,1,1,110,904,1980
"463",2875000,2,5.6,1,1,90,1065,1910
"464",1500000,3,5.6,2,1,130,857,1941
"465",1750000,4,5.6,2,3,230,641,2010
"466",1100000,3,5.6,1,1,115,0,1935
"467",1440000,3,5.6,1,1,130,298,1900
"468",2560000,4,5.6,4,3,346,670,1990
"469",2600000,5,5.6,2,2,281,674,1959
"470",3280000,5,5.6,2,5,147,480,1979
"471",620000,3,5.6,1,1,112,0,1970
"472",2600000,4,5.6,2,3,700,700,1992
"473",2800000,5,5.6,3,2,241,920,1900
"474",1420000,3,5.6,2,2,153,275,1999
"475",1800000,3,5.6,1,2,139,336,1910
"476",395000,1,5.6,1,1,55,0,2005
"477",2250000,4,5.6,2,3,307,741,1890
"478",1950000,5,7.5,3,2,253,711,1940
"479",605000,2,7.5,1,1,83,0,1960
"480",1920000,3,7.5,2,1,152,672,1940
"481",1615000,3,7.5,1,1,127,702,1933
"482",2081000,4,7.5,3,4,311,948,1960
"483",1315000,4,7.5,2,2,200,458,1930
"484",1750000,3,7.5,4,2,160,611,1930
"485",2100000,5,7.5,2,3,360,695,1950
"486",1300000,6,7.5,2,3,310,730,1968
"487",1315000,4,7.5,2,2,200,458,1930
"488",1620000,3,7.5,2,2,167,248,2012
"489",615000,3,9.2,2,2,161,165,2007
"490",715000,3,9.2,1,1,128,576,1970
"491",826000,4,9.2,2,2,185,308,2012
"492",275000,2,9.2,1,1,63,1972,1960
"493",711000,2,9.2,0,1,69,163,1920
"494",695000,3,9.2,1,2,124,156,2012
"495",490000,3,9.2,2,1,91,306,1960
"496",502000,2,9.2,1,1,79,144,2005
"497",721000,3,9.2,1,2,121,239,1955
"498",840000,3,9.2,1,1,81,584,1900
"499",335000,2,9.2,1,1,70,0,2009
"500",832000,3,9.2,2,1,125,300,1950
"501",646000,2,9.2,2,1,95,270,1900
"502",673000,3,9.2,2,1,107,285,1910
"503",695000,3,9.2,2,1,146,214,2007
"504",349000,2,9.2,1,1,69,0,2011
"505",555000,3,9.2,2,1,121,210,2012
"506",352500,2,9.2,1,1,66,15100,2012
"507",1350000,5,9.2,2,3,358,527,2009
"508",510000,2,9.2,2,1,91,118,2014
"509",490000,3,9.2,2,1,80,269,1960
"510",675000,4,9.2,1,1,80,595,1950
"511",865000,3,9.2,3,1,121,381,1940
"512",6e+05,2,9.2,1,2,112,145,2012
"513",773000,4,9.2,2,1,137,333,1970
"514",2050000,3,7.4,1,2,180,231,1890
"515",3460000,4,7.4,2,2,309,502,2016
"516",2400000,4,7.4,2,2,195,586,1890
"517",2025000,3,7.4,2,2,105,396,1910
"518",611000,2,7.4,1,1,68,0,2008
"519",3800000,4,7.4,2,3,392,587,2016
"520",1390000,3,7.4,1,2,181,227,1995
"521",2415000,3,7.4,3,1,128,696,1910
"522",566000,2,7.4,1,1,80,0,1970
"523",1437000,3,7.4,1,1,132,313,1910
"524",5e+05,2,7.4,1,1,54,0,1970
"525",3400000,5,7.4,4,3,339,807,1920
"526",2355000,3,7.4,4,2,235,471,1985
"527",4240000,5,7.4,3,3,320,580,1890
"528",1326000,2,7.4,0,1,100,254,1900
"529",4525000,4,7.4,2,4,159,716,1925
"530",1150000,2,11.2,2,1,119,604,1960
"531",2001000,4,11.2,2,2,243,526,1910
"532",1915000,3,11.2,2,2,126,700,1920
"533",1135000,3,11.2,2,3,130,0,1988
"534",1240000,4,11.2,2,2,180,310,1990
"535",1120000,3,11.2,2,2,151,181,1990
"536",1500000,3,11.2,2,1,165,888,1886
"537",707500,3,11.2,1,1,83,170,1975
"538",835000,2,11.2,1,1,118,0,1930
"539",1870000,3,11.2,1,2,152,400,1930
"540",1580000,4,11.2,1,2,260,504,1920
"541",820000,2,11.2,1,2,104,0,2013
"542",480000,2,11.2,1,1,74,0,1970
"543",1370000,3,11.2,2,3,337,427,2012
"544",960000,3,11.2,1,2,114,310,1970
"545",315000,1,11.2,1,1,46,0,1940
"546",1297000,3,11.2,1,1,147,333,1948
"547",1015000,3,11.2,2,2,134,0,2013
"548",523000,2,11.2,1,1,62,0,1960
"549",1335000,3,11.2,2,2,133,606,1965
"550",425000,2,11.2,1,1,57,0,1997
"551",1670000,3,11.2,1,2,155,375,1920
"552",1350000,4,11.2,2,3,90,222,2010
"553",1650000,3,11.2,2,1,114,764,1925
"554",950000,3,11.2,1,1,132,288,1999
"555",1782500,3,11.2,2,1,126,615,1950
"556",650000,2,11.2,1,2,120,0,2015
"557",975000,3,8.7,2,1,154,597,1970
"558",560000,3,8.7,2,2,115,77,2004
"559",355000,2,8.7,1,1,88,0,2004
"560",550000,3,8.7,2,2,138,77,2000
"561",420000,2,8.7,2,1,103,5661,1940
"562",399000,2,8.7,1,1,53,904,1985
"563",1105000,3,8.7,4,1,142,762,1950
"564",730000,3,8.7,2,1,132,250,2000
"565",662500,3,8.7,2,2,121,202,2006
"566",410000,2,8.7,2,1,71,53,2000
"567",920000,3,8.7,2,1,110,689,1920
"568",1320000,3,8.7,2,2,211,645,1900
"569",1150000,5,8.7,2,3,286,446,2002
"570",847000,3,8.7,2,2,200,222,2002
"571",4e+05,2,8.7,2,1,87,3967,2007
"572",1072000,3,8.7,2,2,175,1396,1955
"573",510000,2,8.7,1,2,142,176,2010
"574",865000,3,8.7,2,2,3,151,2010
"575",570000,2,8.7,2,1,128,98,2009
"576",1900000,4,8.7,8,3,374,865,2013
"577",429000,2,8.7,1,1,88,83,1980
"578",456000,3,8.7,2,2,95,4977,2005
"579",566000,2,8.7,1,2,80,3014,2012
"580",408000,2,8.7,1,1,84,85,1980
"581",470000,2,8.7,1,2,79,0,2011
"582",780000,3,8.7,2,3,184,173,2000
"583",440000,2,8.7,2,1,85,54,2000
"584",1048700,4,8.7,2,2,245,452,1999
"585",4e+05,2,8.7,2,1,85,54,2000
"586",1215000,4,8.7,4,3,142,613,1950
"587",1180000,4,8.7,2,3,166,688,1960
"588",1117000,4,8.7,2,3,207,325,2005
"589",420000,2,8.7,1,1,68,0,1970
"590",770000,4,8.7,2,2,231,215,2000
"591",1151000,5,8.7,5,2,232,694,1950
"592",907000,3,8.7,2,1,124,678,1950
"593",570000,2,8.7,1,2,204,3014,2012
"594",820000,3,8.7,2,2,160,203,2006
"595",940000,3,8.7,1,1,141,695,1940
"596",1030000,4,8.7,1,2,196,573,1925
"597",1230000,4,8.7,2,3,215,270,2009
"598",884500,3,8.7,2,2,234,211,2005
